Brand,Model,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Toyota,Innova,2010,0.5,17.56,93212,CNG,Individual,Manual,5
Kia,Seltos,2010,0.5,4.78,9544,CNG,Dealer,Automatic,5
Tata,Nexon,2015,0.52,21.74,105401,Petrol,Individual,Manual,5
Hyundai,Verna,2014,3.69,16.38,11794,Diesel,Dealer,Automatic,0
Honda,Civic,2014,0.5,12.38,100119,CNG,Individual,Automatic,3
Hyundai,Venue,2015,0.5,4.54,154239,Diesel,Dealer,Manual,2
Maruti,Swift,2010,0.5,22.28,79156,Diesel,Individual,Automatic,1
Toyota,Innova,2020,13.13,23.2,62045,CNG,Individual,Automatic,2
Tata,Nexon,2022,9.42,19.24,154810,Petrol,Individual,Manual,4
Hyundai,Venue,2007,0.5,6.88,181917,CNG,Dealer,Automatic,4
Toyota,Etios,2015,0.5,6.91,64035,Diesel,Dealer,Manual,5
Mahindra,XUV500,2022,6.77,12.59,110386,CNG,Dealer,Manual,1
Mahindra,Scorpio,2019,5.63,15.3,161920,Diesel,Dealer,Manual,0
Honda,Amaze,2012,0.5,16.8,61720,Petrol,Dealer,Automatic,1
Toyota,Etios,2012,0.5,17.84,156865,CNG,Dealer,Manual,1
Toyota,Fortuner,2022,2.64,4.19,56705,Petrol,Dealer,Manual,1
Toyota,Etios,2014,0.5,3.08,151312,Diesel,Individual,Automatic,0
Hyundai,Creta,2021,0.5,4.23,165754,CNG,Individual,Manual,4
Maruti,Swift,2007,0.5,21.27,56703,CNG,Dealer,Automatic,5
Tata,Tiago,2022,6.74,15.18,195363,CNG,Individual,Manual,4
Mahindra,XUV500,2007,0.5,10.75,176471,Petrol,Dealer,Automatic,4
Hyundai,i20,2012,0.5,5.31,177738,Petrol,Individual,Manual,5
Maruti,Baleno,2023,10.74,14.5,49448,Petrol,Individual,Manual,3
Tata,Nexon,2009,0.5,21.16,37760,Petrol,Individual,Manual,1
Kia,Seltos,2013,0.5,17.81,187387,CNG,Dealer,Automatic,0
Kia,Seltos,2007,0.5,3.61,146914,CNG,Dealer,Manual,4
Honda,Civic,2010,0.5,11.35,189606,Petrol,Dealer,Manual,4
Hyundai,Verna,2014,1.64,16.95,62364,Diesel,Dealer,Manual,0
Tata,Harrier,2018,9.0,22.36,21709,Petrol,Individual,Automatic,3
Mahindra,Bolero,2007,0.5,10.36,58333,CNG,Dealer,Manual,0
Kia,Seltos,2011,0.5,4.68,139133,CNG,Individual,Manual,1
Kia,Seltos,2005,0.5,18.2,40990,Petrol,Dealer,Automatic,5
Honda,Civic,2007,0.5,11.82,194062,Petrol,Dealer,Automatic,0
Toyota,Innova,2020,9.39,16.57,6469,CNG,Dealer,Manual,1
Hyundai,Verna,2012,0.5,16.16,140528,Diesel,Dealer,Automatic,0
Hyundai,Creta,2024,10.89,11.85,73022,Diesel,Dealer,Automatic,3
Tata,Tiago,2015,0.5,3.35,191333,Petrol,Individual,Automatic,0
Maruti,Alto,2016,0.5,7.26,169689,CNG,Dealer,Automatic,3
Honda,Amaze,2006,0.5,10.06,9996,CNG,Individual,Automatic,4
Maruti,Baleno,2009,0.5,18.9,117856,CNG,Dealer,Automatic,4
Kia,Sonet,2012,0.5,7.94,150155,CNG,Dealer,Automatic,5
Honda,Amaze,2022,13.09,20.14,91265,CNG,Individual,Automatic,0
Tata,Nexon,2017,0.5,4.55,82607,CNG,Individual,Manual,3
Kia,Seltos,2023,12.28,17.74,128944,Petrol,Individual,Automatic,1
Toyota,Innova,2017,0.5,3.04,134634,Diesel,Dealer,Automatic,1
Mahindra,Bolero,2022,0.5,4.01,98660,Petrol,Individual,Automatic,3
Mahindra,XUV500,2019,6.26,15.11,72806,Petrol,Individual,Manual,0
Kia,Seltos,2010,0.5,24.95,164913,Diesel,Individual,Automatic,2
Hyundai,i20,2015,5.13,23.26,40702,Diesel,Individual,Automatic,0
Hyundai,Verna,2009,0.5,8.08,73865,Diesel,Dealer,Automatic,4
Maruti,Baleno,2017,0.56,7.16,148531,Diesel,Dealer,Automatic,1
Kia,Seltos,2007,0.5,14.52,105255,CNG,Dealer,Manual,1
Hyundai,Creta,2021,4.16,9.08,77134,Diesel,Individual,Automatic,5
Toyota,Innova,2006,0.5,22.45,59139,Diesel,Dealer,Automatic,5
Mahindra,XUV500,2020,4.51,16.47,194053,CNG,Individual,Manual,3
Honda,City,2006,0.5,13.54,167945,CNG,Dealer,Automatic,5
Mahindra,Scorpio,2014,0.5,6.73,126136,CNG,Dealer,Automatic,1
Toyota,Etios,2009,0.5,16.26,96878,CNG,Dealer,Automatic,0
Mahindra,XUV500,2012,0.5,10.72,113217,CNG,Individual,Automatic,4
Toyota,Innova,2020,9.4,17.89,61393,Petrol,Dealer,Manual,2
Tata,Nexon,2013,0.5,7.18,125501,CNG,Dealer,Manual,2
Hyundai,Creta,2017,3.05,20.53,180437,Petrol,Individual,Automatic,3
Honda,Amaze,2005,0.5,6.55,122523,Diesel,Dealer,Manual,3
Toyota,Etios,2018,4.82,15.8,180741,Diesel,Dealer,Manual,3
Tata,Tiago,2014,0.5,17.0,68276,CNG,Individual,Manual,3
Maruti,Swift,2020,3.17,10.9,68472,CNG,Individual,Manual,5
Tata,Tiago,2008,0.5,4.23,54083,CNG,Dealer,Manual,2
Hyundai,Verna,2013,0.5,7.57,88972,Petrol,Individual,Manual,2
Maruti,Alto,2020,4.65,14.64,148161,Petrol,Dealer,Manual,3
Mahindra,XUV500,2006,0.5,14.04,123292,Petrol,Individual,Automatic,5
Tata,Tiago,2011,0.5,22.68,147938,Petrol,Dealer,Manual,4
Toyota,Etios,2024,3.29,7.67,177561,Diesel,Individual,Manual,3
Tata,Tiago,2009,0.5,5.18,5044,CNG,Dealer,Automatic,1
Kia,Sonet,2023,6.15,8.45,79811,Petrol,Dealer,Manual,2
Toyota,Etios,2007,0.5,11.19,69007,Petrol,Individual,Automatic,0
Maruti,Swift,2023,12.3,16.49,61504,CNG,Dealer,Manual,2
Hyundai,i20,2013,0.5,15.11,80810,CNG,Dealer,Automatic,3
Toyota,Fortuner,2024,19.6,24.84,185988,Petrol,Individual,Automatic,0
Honda,City,2009,0.5,8.28,56733,Diesel,Dealer,Automatic,4
Tata,Tiago,2020,8.01,16.86,128567,Diesel,Dealer,Automatic,5
Maruti,Alto,2015,0.5,16.07,158450,Diesel,Dealer,Automatic,4
Mahindra,Scorpio,2014,0.55,20.75,183958,Diesel,Dealer,Automatic,0
Mahindra,Bolero,2021,1.46,3.03,9130,Petrol,Individual,Automatic,5
Honda,Civic,2009,0.5,21.05,167336,Diesel,Individual,Manual,2
Mahindra,XUV500,2019,3.7,12.77,92108,Diesel,Individual,Automatic,4
Kia,Sonet,2021,2.02,6.26,139719,Petrol,Individual,Manual,0
Mahindra,Scorpio,2008,0.5,7.94,121840,Diesel,Individual,Manual,2
Honda,Civic,2008,0.5,18.52,29131,CNG,Dealer,Manual,1
Honda,Civic,2014,0.5,10.06,188634,CNG,Dealer,Automatic,1
Tata,Nexon,2012,0.5,7.52,178084,CNG,Individual,Manual,3
Toyota,Innova,2014,0.5,13.15,127240,CNG,Dealer,Manual,0
Mahindra,Bolero,2021,4.1,8.25,77933,CNG,Individual,Manual,0
Toyota,Etios,2022,13.53,19.58,100306,Diesel,Dealer,Manual,0
Tata,Tiago,2018,2.76,9.75,82183,CNG,Dealer,Manual,2
Toyota,Innova,2007,0.5,14.57,96566,Diesel,Individual,Automatic,3
Honda,Amaze,2005,0.5,4.15,46317,CNG,Individual,Manual,1
Maruti,Baleno,2005,0.5,24.15,81754,Petrol,Individual,Manual,3
Hyundai,Creta,2016,2.92,3.95,18268,Diesel,Dealer,Automatic,0
Hyundai,Creta,2005,0.5,20.44,197991,Petrol,Individual,Manual,4
Toyota,Fortuner,2023,19.8,24.7,44512,CNG,Dealer,Automatic,2
Mahindra,Scorpio,2024,3.13,6.81,184160,CNG,Dealer,Automatic,1
Mahindra,XUV500,2006,0.5,21.1,27504,Diesel,Dealer,Automatic,3
Mahindra,Bolero,2020,4.1,9.06,80812,Diesel,Dealer,Manual,3
Tata,Tiago,2017,5.88,22.85,93029,Diesel,Individual,Manual,3
Honda,Civic,2007,0.5,17.48,47442,Diesel,Dealer,Manual,2
Tata,Tiago,2007,0.5,9.54,132806,Petrol,Individual,Manual,5
Maruti,Baleno,2024,14.48,18.27,125114,Diesel,Dealer,Manual,2
Tata,Nexon,2013,0.65,15.3,59798,Diesel,Dealer,Automatic,2
Hyundai,i20,2006,0.5,11.77,190352,CNG,Individual,Manual,5
Tata,Tiago,2021,0.77,5.95,158317,Diesel,Individual,Manual,1
Tata,Harrier,2014,0.5,22.29,189441,Petrol,Dealer,Automatic,4
Mahindra,Scorpio,2017,1.36,15.39,196507,CNG,Dealer,Automatic,3
Kia,Sonet,2012,0.5,18.75,194900,Petrol,Dealer,Manual,3
